,iteration,MRR
0,0,452.75
1,1,421.0
2,2,535.4166666666666
3,3,498.0
4,4,699.0
5,5,483.4166666666667
6,6,451.8333333333333
7,7,633.0833333333334
8,8,602.0
9,9,773.1666666666666
10,10,661.6666666666666
11,11,726.3333333333334
12,12,576.4166666666666
13,13,135.25
14,14,638.4166666666666
15,15,530.25
16,16,670.5833333333334
17,17,578.1666666666666
18,18,533.9166666666666
19,19,396.5
20,20,525.8333333333334
21,21,557.5833333333334
22,22,573.0833333333334
23,23,355.25
24,24,657.9166666666666
25,25,748.1666666666666
26,26,215.5
27,27,583.9166666666666
28,28,644.5833333333334
29,29,753.9166666666666
30,30,559.9166666666666
31,31,342.6666666666667
32,32,365.4166666666667
33,33,615.25
34,34,340.0833333333333
35,35,457.4166666666667
36,36,457.6666666666667
37,37,659.5
38,38,753.25
39,39,645.25
40,40,540.0
41,41,468.9166666666667
42,42,576.8333333333334
43,43,625.1666666666666
44,44,525.5
45,45,667.25
46,46,605.1666666666666
47,47,269.4166666666667
48,48,518.8333333333334
49,49,574.9166666666666
50,50,373.25
51,51,657.6666666666666
52,52,503.3333333333333
53,53,699.5833333333334
54,54,600.25
55,55,484.0
56,56,630.5833333333334
57,57,434.75
58,58,531.4166666666666
59,59,729.5
60,60,732.9166666666666
61,61,393.0
62,62,454.75
63,63,709.25
64,64,657.6666666666666
65,65,465.5
66,66,643.5
67,67,455.0
68,68,651.6666666666666
69,69,425.25
70,70,545.3333333333334
71,71,771.4166666666666
72,72,669.8333333333334
73,73,294.25
74,74,542.5833333333334
75,75,614.8333333333334
76,76,547.0833333333334
77,77,360.5833333333333
78,78,756.1666666666666
79,79,645.25
80,80,564.4166666666666
81,81,605.8333333333334
82,82,685.75
83,83,464.5
84,84,640.0
85,85,757.8333333333334
86,86,509.4166666666667
87,87,615.75
88,88,611.4166666666666
89,89,609.1666666666666
90,90,400.4166666666667
91,91,683.1666666666666
92,92,700.75
93,93,664.25
94,94,622.0833333333334
95,95,620.6666666666666
96,96,622.4166666666666
97,97,561.75
98,98,639.9166666666666
99,99,774.5
100,100,608.8333333333334
101,101,554.9166666666666
102,102,696.0833333333334
103,103,639.3333333333334
104,104,504.75
105,105,385.5
106,106,614.4166666666666
107,107,482.4166666666667
108,108,386.25
109,109,493.75
110,110,742.9166666666666
111,111,564.0
112,112,429.9166666666667
113,113,575.8333333333334
114,114,577.25
115,115,575.75
116,116,581.5
117,117,694.25
118,118,700.3333333333334
119,119,615.1666666666666
120,120,515.6666666666666
121,121,657.0
122,122,625.5833333333334
123,123,625.6666666666666
124,124,410.9166666666667
125,125,440.25
126,126,593.0833333333334
127,127,472.0833333333333
128,128,586.0833333333334
129,129,579.3333333333334
130,130,553.0833333333334
131,131,550.5
132,132,419.6666666666667
133,133,587.25
134,134,646.5833333333334
135,135,565.0
136,136,541.5833333333334
137,137,647.0833333333334
138,138,703.5833333333334
139,139,539.0833333333334
140,140,592.6666666666666
141,141,444.8333333333333
142,142,551.1666666666666
143,143,617.0833333333334
144,144,664.1666666666666
145,145,556.0833333333334
146,146,691.0
147,147,486.4166666666667
148,148,359.5
149,149,600.4166666666666
150,150,472.1666666666667
151,151,692.0833333333334
152,152,673.6666666666666
153,153,530.8333333333334
154,154,380.1666666666667
155,155,509.4166666666667
156,156,713.5
157,157,731.5833333333334
158,158,575.0833333333334
159,159,160.08333333333334
160,160,395.3333333333333
161,161,617.4166666666666
162,162,513.5
163,163,514.75
164,164,430.3333333333333
165,165,323.0
166,166,698.5
167,167,484.0
168,168,404.25
169,169,769.3333333333334
170,170,635.5833333333334
171,171,677.3333333333334
172,172,612.75
173,173,443.1666666666667
174,174,489.4166666666667
175,175,664.8333333333334
176,176,496.8333333333333
177,177,496.0833333333333
178,178,441.1666666666667
179,179,553.25
180,180,615.5833333333334
181,181,476.0
182,182,526.6666666666666
183,183,708.5833333333334
184,184,650.3333333333334
185,185,769.5833333333334
186,186,537.5833333333334
187,187,550.0
188,188,753.6666666666666
189,189,521.1666666666666
190,190,559.5
191,191,190.16666666666666
192,192,489.3333333333333
193,193,510.8333333333333
194,194,539.8333333333334
195,195,375.75
196,196,670.6666666666666
197,197,415.1666666666667
198,198,366.25
199,199,592.5833333333334
200,200,436.0
201,201,709.8333333333334
202,202,450.0
203,203,660.4166666666666
204,204,575.5
205,205,476.1666666666667
206,206,382.1666666666667
207,207,648.4166666666666
208,208,617.1666666666666
209,209,651.1666666666666
210,210,490.75
211,211,628.5
212,212,443.0
213,213,728.9166666666666
214,214,560.5833333333334
215,215,602.4166666666666
216,216,780.0
217,217,524.4166666666666
218,218,501.1666666666667
219,219,422.3333333333333
220,220,485.9166666666667
221,221,664.0833333333334
222,222,542.9166666666666
223,223,677.0
224,224,595.3333333333334
225,225,785.8333333333334
226,226,267.8333333333333
227,227,619.0833333333334
228,228,654.9166666666666
229,229,371.4166666666667
230,230,686.75
231,231,188.0
232,232,656.4166666666666
233,233,547.5833333333334
234,234,608.9166666666666
235,235,326.75
236,236,584.9166666666666
237,237,542.5
238,238,706.5833333333334
239,239,595.5833333333334
240,240,431.75
241,241,597.8333333333334
242,242,523.5833333333334
243,243,413.0
244,244,351.3333333333333
245,245,638.8333333333334
246,246,400.0833333333333
247,247,656.0833333333334
248,248,509.5
249,249,780.0833333333334
250,250,578.9166666666666
251,251,439.6666666666667
252,252,753.5
253,253,593.75
254,254,474.25
255,255,537.5
256,256,473.0
257,257,581.75
258,258,522.4166666666666
259,259,436.25
260,260,754.25
261,261,467.3333333333333
262,262,604.0
263,263,617.4166666666666
264,264,748.3333333333334
265,265,364.4166666666667
266,266,456.5
267,267,501.4166666666667
268,268,764.5833333333334
269,269,315.9166666666667
270,270,540.5833333333334
271,271,631.6666666666666
272,272,521.5833333333334
273,273,511.5833333333333
274,274,407.5
275,275,446.5833333333333
276,276,135.25
277,277,717.75
278,278,536.5833333333334
279,279,469.5
280,280,718.0833333333334
281,281,476.5833333333333
282,282,411.4166666666667
283,283,661.9166666666666
284,284,554.5833333333334
285,285,725.0
286,286,541.9166666666666
287,287,647.5833333333334
288,288,303.1666666666667
289,289,536.9166666666666
290,290,699.5
291,291,615.5833333333334
292,292,205.0
293,293,637.1666666666666
294,294,582.0833333333334
295,295,569.1666666666666
296,296,420.5833333333333
297,297,629.0
298,298,436.75
299,299,523.75
300,300,483.4166666666667
301,301,341.0
302,302,402.25
303,303,605.1666666666666
304,304,518.6666666666666
305,305,512.5833333333334
306,306,638.75
307,307,587.3333333333334
308,308,586.9166666666666
309,309,557.6666666666666
310,310,587.5
311,311,494.4166666666667
312,312,600.25
313,313,696.0833333333334
314,314,617.3333333333334
315,315,425.0
