,Product,Ingredients,Rating
0,Mattifying Moisturizer: Oil Control,"
	Ingredients

	
		Water/Aqua/Eau, Glycerin, Gluconolactone, Rosa Damascena Flower Water, Propanediol, Isopentyldiol, Coconut Alkanes, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycolic Acid, Heptyl Undecylenate, Sodium Hyaluronate, Salix Alba (Willow) Bark Extract, Bakuchiol, Palmitoyl Tripeptide-5, Allantoin, Trifolium Pratense (Clover) Flower Extract, Thymus Vulgaris (Thyme) Leaf Extract, Rosa Canina Fruit Extract, 1,2-Hexanediol, Sodium Hydroxide, Polyacrylate Crosspolymer-6, Caprylhydroxamic Acid, Coco-Caprylate/Caprate, Backhousia Citriodora Leaf Extract.	
","<span class=""product-rating rating stars-3""></span>"
1,Retinol Clearing Oil,"
	Ingredients

	
		Active: Salicylic Acid (2%). Other: Coconut Alkanes, PPG-15 Stearyl Ether, Rosa Canina Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, C13-15 Alkane, Coco-Caprylate/Caprate, Argania Spinosa Kernel Oil, Caprylic/Capric Triglyceride, Isopropyl Lauroyl Sarcosinate, Retinyl Propionate, Butyl Avocadate, Phenylethyl Resorcinol, Tanacetum Annuum Flower Oil, Sclareolide, Triolein, Cetyl Alcohol, Hydroxymethoxyphenyl Decanone, Tocopherol, BHT, Propyl Gallate.	
","<span class=""product-rating rating stars-3""></span>"
2,Agave+ Nighttime Lip Therapy,"
	Ingredients

	
		Ricinus Communis (Castor) Seed Oil, Triisostearoyl Polyglyceryl-3 Dimer Dilineolate, Oleic/Linoleic/Linolenic Polyglycerides, Squalane, Glyceryl Rosinate, Hydrogenated Vegetable Oil, Thus Verniciflua Peel Wax/Rhus Verniciflua Peel Cera, Helianthus Annuus (Sunflower) Seed Oil, Phytosteryl Canola Glycerides, Carthamus Tinctorius (Safflower) Seed Oil, Aroma/Flavor, Simmondsia Chinensis (Jojoba) Seed Oil, Phospholipids, Polyglyceryl-3 Diisostearate, Caprylic/Capric Triglyceride, Tocopherol, Punica Granatum Flower Extract, Ascorbyl Palmitate Agave Tequilana Leaf Extract, Momordica Grosvenorii Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Tocopheryl Acetate, Limonene, Linalool.	
","<span class=""product-rating rating stars-3""></span>"
3,Banana Bright Vitamin C Serum,"
	Ingredients

	
		Aqua/Water/Eau, 3-O-Ethyl Ascorbic Acid, Neopentyl Glycol Diheptanoate, Gluconolactone, Cetearyl Olivate, Sorbitan Olivate, Citrus Aurantium Dulcis (Orange) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Triethyl Citrate, Citrus Sinensis (Orange) Fruit Extract, Helianthus Annuus (Sunflower) Seed Oil, Potassium Hydroxide, Betaine, Panthenol, Phenoxyethanol, Hydroxyacetophenone, Aminomethyl Propanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Gluconic Acid, Tocopherol, Glycerin, Succinoglycan, Phytic Acid, Mica, Sodium Metabisulfite, Sodium Hyaluronate, Hyaluronic Acid, Caramel, Dipotassium Glycyrrhizate, Sodium Polyacrylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Phytate, Citrus Limon (Lemon) Fruit Extract, Rosa Canina Fruit Extract, Hippophae Rhamnoides Extract, Ascorbic Acid, Lycium Barbarum Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Linalool, Citral, Titanium Dioxide (Ci 77891), Yellow 5 (Ci 19140), Red 4 (Ci 14700).	
","<span class=""product-rating rating stars-3""></span>"
4,Blue Algae Vitamin C Dark Spot Correcting Peel,"
	Ingredients

	
		Glycerin, Carthamus Tinctorius (Safflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Glycolic Acid, Gluconolactone, Polyglyceryl-10 Behenate/Eicosadioate, Aminomethyl Propanol, Ascorbic Acid, Mandelic Acid, Glyceryl Behenate/Eicosadioate, Oleth-5, Bisabolol, Menthoxypropanediol, Spirulina Platensis Extract, Parachlorella Beijerinckii Exopolysaccharides, Citric Acid, Azelaic Acid, Tranexamic Acid, Malic Acid, Salicylic Acid, Dipotassium Glycyrrhizate, Tocopheryl Acetate, Tanacetum Annuum Flower Oil, Lavandula Angustifolia (Lavender) Oil, Sodium Hyaluronate, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Glyceryl Stearate SE, Sodium Citrate, Euphorbia Cerifera (Candelilla) Wax, Behenyl Alcohol, Polyglyceryl-3 Stearate, Ethylhexylglycerin, Water (Aqua, Eau), Phenoxyethanol.	
","<span class=""product-rating rating stars-3""></span>"
5,All About Clean All-in-One Cleansing Micellar Milk + Makeup Remover Combination to Oily Skin,"
	Ingredients

	
		WaterAquaEau, Isohexadecane, Methyl Trimethicone, Butylene Glycol, Glycerin, Tocopheryl Acetate, Propanediol, Algae Extract, Panthenol, Helianthus Annuus (Sunflower) Seedcake, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) ExtractExtrait D'Orge, Sucrose, Propylene Glycol Dicaprate, Caprylyl Glycol, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Steareth-2, Oleth-10, Phenoxyethanol.	
","<span class=""product-rating rating stars-3""></span>"
6,Knockout Brightening Gel Moisturizer,"
	Ingredients

	
		Water/Aqua/Eau, Citrus Tangerina (Tangerine) Fruit Water, Ethylhexyl Olivate, Propanediol, Glycerin, Dimethicone, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dipropylene Glycol Solanum Melongena, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Isohexadecane, Tocopheryl Acetate, Xanthan Gum, Caprylyl Glycol, Citric Acid, Potassium Sorbate, Sodium Benzoate, Limonene, Papain, Polysorbate 80, Sorbitan Oleate, 1,2- Hexanediol, Carbomer, Algin, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Sodium Hydroxide, Coccinia Indica Fruit Extract, Aloe Barbadensis Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract.	
","<span class=""product-rating rating stars-3""></span>"
7,Ultra Hydrating Alkaline Water Eye Gel,"
	Ingredients

	
		Purified Water, Glycerin (Vegetable Derived), Xanthan Gum, Polysorbate 20 (Vegetable Derived), Sodium Hyaluronate (Hyaluronic Acid), Hydrolyzed Sodium Hyaluronate, Copper PCA, Aloe Barbadensis Leaf Juice, Vaccinium Myrtillus (Bilberry) Fruit Extract, Dunaliella Salina Extract (Vitamin B12) (Plant Derived), Cucumis Sativus (Cucumber) Fruit Extract, Palmitoyl Tripeptide-5, Panthenol (Provitamin B5), Allantoin, Sodium Bicarbonate, Potassium Sorbate, Phenoxyethanol, Ethylhexylglycerin, Natural Fragrance Oils.	
","<span class=""product-rating rating stars-3""></span>"
8,Fat Water Pore-Refining Toner Serum,"
	Ingredients

	
		Aqua/Water/Eau, Hamamelis Virginiana (Witch Hazel) Water, Butylene Glycol, Niacinamide, Polysorbate 20, Leuconostoc/Radish Root Ferment Filtrate, Backhousia Citriodora Leaf Extract, Camellia Oleifera Leaf Extract, Cereus Grandiflorus (Cactus) Flower Extract, Ficus Carica (Fig) Fruit Extract, Ginkgo Biloba Leaf Extract, Hovenia Dulcis Fruit Extract, Malpighia Punicifolia (Acerola) Fruit Extract, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citric Acid, Sodium Hydroxide, Benzoic Acid, Potassium Sorbate, Phenoxyethanol, Parfum/Fragrance, Red 33 (Ci 17200).	
","<span class=""product-rating rating stars-3""></span>"
9,Multi Correxion Revive + Glow Daily Serum,"
	Ingredients

	
		Water, Propanediol, PPG-24-Glycereth-24, Glycerin, 3-o-Ethyl Ascorbic Acid, Troxerutin, 1,2-Hexanediol, Sodium Polyacryloyldimethyl Taurate, PPG-26-Buteth-26, Fragrance, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol, Disodium Phosphate, Nonapeptide-1, Sodium Phosphate, Caprylhydroxamic Acid, Disodium EDTA, Polygonum Aviculare Extract, Cistus Monspeliensis Flower/Leaf/Stem Extract, Maltodextrin, Terminalia Ferdinandiana Fruit Extract, Citric Acid, Yellow 6 (CI 15985).	
","<span class=""product-rating rating stars-3""></span>"
10,Universal Cleansing Balm,"
	Ingredients

	
		Caprylic/Capric Triglyceride (Vegetable Derived), Ethylhexyl Palmitate, Lauryl Laurate, Carthamus Tinctorius (Safflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Polyglyceryl-3 Laurate, Polyhydroxystearic Acid, Helianthus Annus (Sunflower) Seed Wax, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Glyceryl Stearate Citrate (Vegetable Derived), Cetyl Alcohol (Vegetable Derived), Rosa Canina Fruit Oil, Tetrahexyldecyl Ascorbate, Camellia Olefera Seed Oil, Retinol (Vitamin A), Tocopheryl Acetate (Vitamin E), Polysorbate 20, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Orange Sweet Oil, Natural Fragrance Oils.	
","<span class=""product-rating rating stars-3""></span>"
11,Squalane + Lactic Acid Resurfacing Night Serum,"
	Ingredients

	
		Water/Aqua/Eau, Caprylic/Capric Triglyceride, Lactic Acid, Squalane, Glycerin, Sodium Hydroxide, Cetearyl Olivate, Propanediol, Sorbitan Olivate, Cetearyl Alcohol, Lespedeza Capitata Leaf/Stem Extract, Polyacrylate Crosspolymer-6, Acacia Senegal Gum, Sodium Gluconate, Xanthan Gum, Phenoxyethanol, Ethylhexylglycerin, Lavandula Angustifolia (Lavender) Oil, Linalool.	
","<span class=""product-rating rating stars-3""></span>"
12,Clarify & Cleanse Bar,"
	Ingredients

	
		Sodium Cocoyl Isethionate, Hydrogenated Vegetable Oil, Polyglyceryl-4 Laurate, Water, Glycerin, Kaolin, Theobroma Cacao (Cocoa) Fruit Powder, Vitis Vinifera (Grape) Seed Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Rosa Canina Fruit Oil, Salicylic Acid, Tetrasodium Glutamate Diacetate.	
","<span class=""product-rating rating stars-3""></span>"
13,Caffeine Energizing Hydrogel Eye Patches,"
	Ingredients

	
		Water, Glycerin, Niacinamide, Carrageenan, Caffeine, Acetyl Tetrapeptide-5, Ceratonia Siliqua (Carob) Gum, Cyamopsis Tetragonoloba (Guar) Gum, Cellulose Gum, Ricinus Communis (Castor) Seed Oil, Glucomannan, Allantoin, Sodium Hyaluronate, Astragalus Membranaceus Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Juice, Butylene Glycol, Potassium Chloride, Arginine, Hydroxyacetophenone, Chlorphenesin, Polysorbate 80, 1,2-Hexanediol, Caprylyl Glycol, Calcium Lactate, Sucrose, Calcium Chloride.	
","<span class=""product-rating rating stars-3""></span>"
14,Pineapple Exfoliating Powder,"
	Ingredients

	
		Dimethylimidazolidinone, Rice Starch, Sodium Cocoyl Isethionate, Sodium Lauroyl Glutamate, Oryza Sativa (Rice) Lees Extract, Sodium Lauroyl Aspartate, Diglycerin, Silk Powder, Calamine, Ananas Sativus (Pineapple) Fruit Extract, Papain Actinidia Chinensis (Kiwi) Fruit Extract, Arnica Montana Flower Extract, Allantoin, Maltodextrin, 3-O-Ethyl Ascorbic Acid, Water, Butylene Glycol.	
","<span class=""product-rating rating stars-3""></span>"
15,Watermelon Glow PHA + BHA Pore-Tight Toner,"
	Ingredients

	
		Opuntia Ficus-Indica (Cactus) Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Glycerin, Hyaluronic Acid, Gluconolactone, Sodium Polyglutamate, Betaine Salicylate, Salix Alba (Willow) Bark Extract, Melaleuca Alternifolia (Tea Tree) Extract, Hibiscus Sabdariffa Flower Extract, Lactobacillus/Watermelon Fruit Ferment Extract, Cucumis Sativus (Cucumber) Fruit Extract, Saccharum Officinarum (Sugarcane) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Ipomoea Batatas Root Extract, Sorbitan Oleate, Levulinic Acid, Sodium Levulinate, Fragrance/Parfum.	
","<span class=""product-rating rating stars-3""></span>"
16,Eye Duty Niacinamide Brightening Cream,"
	Ingredients

	
		Water/Aqua/Eau, Dimethicone, Glycerin, Maris Aqua (Sea Water, Eau De Mer), Butylene Glycol, Niacinamide, Polysilicone-11, Caprylic/Capric Triglyceride, Mica, Panthenol, Gigartina Stellata/Kappaphycus Alvarezii Extract, Sodium Ascorbyl Phosphate, Coffea Arabica (Coffee) Seed Extract, Sodium Hyaluronate, Caffeine, Cucurbita Pepo (Pumpkin) Seed Extract, Corallina Officinalis Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chrysanthemum Parthenium (Feverfew) Extract, Camellia Sinensis Leaf Extract, Tocopherol, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Sodium Acrylates Copolymer, Hydroxyacetophenone, Glyceryl Polyacrylate, Squalane, Hydrogenated Polycyclopentadiene, Polyacrylate Crosspolymer-6, Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Linoleic Acid, Phytosteryl Canola Glycerides, Silica, Hexylene Glycol, Palmitic Acid, Oleic Acid, Stearic Acid, Sorbitan Isostearate, Polysorbate 60, Triolein, T-Butyl Alcohol, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Citric Acid, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides).	
","<span class=""product-rating rating stars-3""></span>"
17,Ultra Repair Oil-Control Moisturizer,"
	Ingredients

	
		Water/Aqua/Eau, Dimethicone, Propanediol, Butylene Glycol, Niacinamide, Nylon-12, Acrylates Copolymer, Enantia Chlorantha Bark Extract, Avena Sativa (Oat) Kernel Extract, Sodium Hyaluronate, Glycyrrhiza Glabra (Licorice) Leaf Extract, Chrysanthemum Parthenium (Feverfew) Extract, Camellia Sinensis Leaf Extract, Glycerin, Oleanolic Acid, Sorbitan Isostearate, Polysorbate 60, Tocopherol, Sodium Acrylates Copolymer, Hydrogenated Polydecene, Caprylyl Glycol, Cetyl Diglyceryl Tris (Trimethylsiloxy) Silylethyl Dimethicone, Polysilicone-11, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 1,2-Hexanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hexedecene, Lecithin, Citric Acid, Laureth-8, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol.	
","<span class=""product-rating rating stars-3""></span>"
18,Cleansing Serum,"
	Ingredients

	
		Aqua (Water, Eau), C14-16 Olefin Sulfonate, PEG-16 Macadamia Glycerides, Caprylyl/Capryl Glucoside, Glycerin, Hydroxypropyl Methylcellulose, Sodium Cocoamphoacetate, Propanediol, Sodium Hyaluronate, Cichorium Intybus (Chicory) Leaf Extract, Avena Sativa (Oat) Kernel Extract, Olea Europaea (Olive) Leaf Extract, Cocamidopropyl Hydrosylsultaine, Sodium Chloride, Xanthan Gum, Phenethyl Alcohol, Phenoxyethanol, Ethylhexylglycerin, Butylene Glycol, Citric Acid, Sodium Hydroxide, Hexylene Glycol, Caprylyl Glycol.	
","<span class=""product-rating rating stars-3""></span>"
19,100 MG CBD Facial Oil,"
	Ingredients

	
		Helianthus Annuus (Sunflower) Seed Oil, C13-15 Alkane, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Caprylic/Capric Triglyceride, Sclerocarya Birrea (Marula) Seed Oil, Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, PCR Hemp Oil, Tocopheryl Acetate, Fragrance.	
","<span class=""product-rating rating stars-3""></span>"
20,Nutritive Cleanser,"
	Ingredients

	
		Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, PPG-2 Hydroxyethyl Coco/Isostearamide, Dimethyl MEA (DMAE), Thiotic Acid, Fragrance, Magnesium Aspartate, Zinc Gluconate, Ethylexylglycerin, Copper Gluconate, Disodium EDTA, Sodium Chloride, Citric Acid, Phenoxyethanol.	
","<span class=""product-rating rating stars-3""></span>"
21,MenoReverse Volumizing Serum-in-Moisturizer,"
	Ingredients

	
		Aqua/Water/Eau, Glycerin, Propanediol, Olus Oil/Vegetable Oil/Huile Végétale, Caprylic/Capric Triglyceride, Betaine, Pentylene Glycol, Arachidyl Alcohol, Arachidyl Glucoside, Avena Sativa (Oat) Kernel Extract, Avena Strigosa Seed Extract, Behenyl Alcohol, Cellulose Gum, Citric Acid, Cynara Scolymus (Artichoke) Leaf Extract, Dimethyl Isosorbide, Ethylhexylglycerin, Glyceryl Acrylate/Acrylic Acid Copolymer, Hydrogenated Palm Glycerides, Hydrogenated Palm Kernel Glycerides, Hydrolyzed Soybean Fiber, Lactic Acid, Lecithin, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Microcrystalline Cellulose, Pancratium Maritimum Extract, Pinus Heldreichii Bark Extract, Sesamum Indicum (Sesame) Seed Extract, Silica, Sodium Carboxymethyl Beta-Glucan, Sodium Hyaluronate, Sodium Polyacrylate Starch, Tetrasodium Glutamate Diacetate, Tocopherol, Tocopheryl Acetate, Xanthan Gum, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Alpha-Isomethyl Ionone, Benzyl Salicylate, Citronellol, Coumarin, Hexyl Cinnamal, Linalool, Parfum/Fragrance.	
","<span class=""product-rating rating stars-3""></span>"
22,Deep Sweep 2% BHA Pore Cleaning Toner,"
	Ingredients

	
		Water/Aqua/Eau, Arginine, Salicylic Acid, Lactobacillus/Papaya Fruit Ferment Extract, Moringa Oleifera Leaf Water, Moringa Oleifera Seed Extract, Eucalyptus Globulus Leaf Water, Chlorella Ferment, Paeonia Suffruticosa Root Extract, Scutellaria Baicalensis Root Extract, Lactic Acid, Glycerin, Butylene Glycol, Xylitylglucoside, Anhydroxylitol, Xylitol, Leuconostoc/Radish Root Ferment Filtrate, Gluconolactone, Maltodextrin, Glucose, Potassium Sorbate, Sodium Benzoate.	
","<span class=""product-rating rating stars-3""></span>"
23,Luxury CBD Beauty Serum,"
	Ingredients

	
		Helianthus Annuus (Sunflower) Seed Oil, Butyrospermum Parkii (Shea) Nut Butter, Punica Granatum (Pomegranate) Seed Extract, Vitus Vinifera (Grape) Seed Oil, Cannabidiol (Full Spectrum CBD), Rosa Canina (Rosehip) Seed Extract, Hippophae Rhamnoides (Seabuckthorn) Fruit Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Damascena (Rose) Flower Oil, Helichrysum Italicum (Helichrysum) Flower Oil, Cymbopogon Martinii V. Motia (Palmarosa) Leaf Oil, Santalum Spicatum (Sandalwood) Wood Oil, Boswellia Carterii (Frankincense) Resin Extract, Pelargonium Graveolens (Geranium) Leaf/Flower Oil, Commiphora Abyssinica (Myrrh) Resin Extract, Calendula Officinalis (Calendula) Flower Extract, Nardostachys Chinensis (Spikenard) Root Oil, Tocopherol (Vitamin E), Opuntia Ficus-Indica (Prickly Pear) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract.	
","<span class=""product-rating rating stars-3""></span>"
