,Product,Ingredients,Rating
0,Faded Brightening & Clearing Gel,"
	Ingredients

	
		Water, Caprylic/Capric Triglyceride, Niacinamide, Tranexamic Acid, Shea Butter, Glyceryl Stearate, Glycerin, Ceteareth-20, Ceteareth-12, Cetearyl Alcohol, Centella Asiatica Leaf Extract, Behenyl Alcohol, Alpha-Arbutin, Jojoba Seed Oil, Zinc Ricinoleate, Azelaic Acid, Glutathione, Kojic Acid Dipalmitate, Dimethylmethoxy Chromanyl Palmitate, Allantoin, Phytic Acid, Squalane, Palm Butter, Glycine, Soybean Sterols, Cetyl Palmitate, Lecithin, Trisodium Ethylenediamine Disuccinate, Sodium Lauroyl Sarcosinate, Licorice Root Extract, Melatonin, Turmeric Root Extract, Sclerotium Gum, Arginine, Cocos Nucifera Oil, Bisabolol, Tetrahydroxypropyl Ethylenediamine, Phenoxyethanol, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-5""></span>"
1,Hydrating Facial Cleanser,"
	Ingredients

	
		Aqua / Water / Eau, Glycerin, Cetearyl Alcohol, PEG-40 Stearate, Stearyl Alcohol, Potassium Phosphate, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Glyceryl Stearate, Behentrimonium Methosulfate, Sodium Lauroyl Lactylate, Sodium Hyaluronate, Cholesterol, Phenoxyethanol, Disodium EDTA, Dipotassium Phosphate, Tocopherol, Phytosphingosine, Xanthan Gum, Cetyl Alcohol, Polysorbate 20, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-5""></span>"
2,E-Rase Milki Micellar Water,"
	Ingredients

	
		Water/Aqua/Eau, Cetearyl Isononanoate, Propanediol, C15-19 Alkane, Dicaprylyl Carbonate, Heptyl Undecylenate, Sclerocarya Birrea Seed Oil, Adansonia Digitata Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Schinziophyton Rautanenii Kernel Oil, Tocopherol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citrullus Lanatus (Watermelon) Seed Oil, Ximenia Americana Seed Oil, Sodium Lauroyl Lactylate, Ceramide AP, Ceramide EOP, Ceramide NP, Cholesterol, Phytosphingosine, Xanthan Gum, Carbomer, Sodium Hydroxide, Phenoxyethanol, Potassium Sorbate, Polysorbate 20, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-5""></span>"
3,C-Firma Day Serum,"
	Ingredients

	
		Water/Aqua/Eau, Dimethyl Isosorbide, Ascorbic Acid, Laureth-23, Glycerin, Lactobacillus/Pumpkin Ferment Extract, Sclerocarya Birrea Seed Oil, Dipotassium Glycyrrhizate, Glycyrrhiza Glabra (Licorice) Root Extract, Vitis Vinifera (Grape) Juice Extract, Phyllanthus Emblica Fruit Extract, Camellia Sinensis Leaf Extract, Tocopherol, Lactobacillus/Punica Granatum Fruit Ferment Extract, Sodium Hyaluronate Crosspolymer, Hydrolyzed Quinoa, Phytosterols, Glutamylamidoethyl Imidazole, Hydrolyzed Wheat Protein, Ferulic Acid, Acetyl Glucosamine, Sodium Hyaluronate, Tetrahydrobisdemethoxydiferuloylmethane, Tetrahydrodemethoxydiferuloylmethane, Tetrahydrodiferuloylmethane, Glycine, Leuconostoc/Radish Root Ferment Filtrate, Sucrose, Maltodextrin, Chondrus Crispus Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Phenoxyethanol, Caprylhydroxamic Acid, Caprylyl Glycol, Sorbitan Isostearate, Propanediol, Pentylene Glycol, Xanthan Gum, Butylene Glycol, Sodium Hydroxide, Chlorphenesin, Polysorbate 60, Sodium Dehydroacetate, Potassium Sorbate, Sorbic Acid, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-5""></span>"
4,Lala Retro Whipped Cream,"
	Ingredients

	
		Water/Aqua/Eau, Glycerin, Caprylic/Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja (Soybean) Meal/Malt Extract/Yeast Extract Ferment Filtrate, Glyceryl Stearate SE, Cetearyl Alcohol, Palmitic Acid, Stearic Acid, Pentylene Glycol, Plantago Lanceolata Leaf Extract, Adansonia Digitata Seed Oil, Citrullus Lanatus (Watermelon) Seed Oil, Passiflora Edulis Seed Oil, Schinziophyton Rautanenii Kernel Oil, Sclerocarya Birrea Seed Oil, Polyglyceryl-6 Ximenia Americana Seedate, Cholesterol, Ceramide AP, Ceramide EOP, Sodium Hyaluronate Crosspolymer, Ceramide NP, Phytosphingosine, Ceteareth-20, Trisodium Ethylenediamine Disuccinate, Tocopherol, Sodium Lauroyl Lactylate, Sodium Hydroxide, Citric Acid, Carbomer, Xanthan Gum, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-5""></span>"
5,T.L.C. Framboos Glycolic Night Serum,"
	Ingredients

	
		Water/Aqua/Eau, Glycolic Acid, Butylene Glycol, Glycerin, Sodium Hydroxide, Salicylic Acid, Lactic Acid, Citric Acid, Vitis Vinifera (Grape) Juice Extract, Aloe Barbadensis Leaf Juice, Opuntia Ficus-Indica Extract, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Camellia Sinensis Leaf Extract, Rubus Idaeus (Raspberry) Fruit Extract, Saccharomyces Cerevisiae Extract, Buddleja Davidii Meristem Cell Culture, Sclerocarya Birrea Seed Oil, Sodium Hyaluronate Crosspolymer, Allantoin, Hydroxyethylcellulose, Galactoarabinan, Propanediol, Disodium EDTA, Xanthan Gum, Hexylene Glycol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Sodium Nitrate, Potassium Sorbate, Pentylene Glycol, Sodium Benzoate.	
","<span class=""product-rating rating stars-5""></span>"
6,B-Hydra Intensive Hydration Serum,"
	Ingredients

	
		Water/Aqua/Eau, Coconut Alkanes, Ammonium Acryloyldimethyltaurate/VP Copolymer, Glycerin, Pentylene Glycol, Sclerocarya Birrea Seed Oil, Wheat Amino Acids, Ananas Sativus (Pineapple) Fruit Extract, Berberis Vulgaris Root Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Coco-Caprylate/Caprate, Panthenol, Sodium PCA, Sodium Hyaluronate Crosspolymer, Dipotassium Glycyrrhizate, Niacinamide, Cyclodextrin, Sodium Hyaluronate, Sodium Lactate, Phenoxyethanol, Hydroxyproline, Trisodium Ethylenediamine Disuccinate, Citric Acid, Caprylyl Glycol, Chlorphenesin, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-5""></span>"
7,Hyper Clear,"
	Ingredients

	
		Water (Aqua), 3-0-Ethyl Ascorbic Acid (Vitamin C), Kojic Acid, Aloe Barbadensis Leaf Juice, Arctostaphylos Uva-Ursi Leaf Extract, Biotin, Camellia Oleifeira Leaf Extract, Citric Acid, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Ethylhexylglycerin, Glycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Hyaluronic Acid, Hydroxyethylcellulose, Lactobaccillus/Papaya Fruit Ferment Extract, Lecithin, Maltodextrin, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract, Phenoxyethanol, Phyllanthis Emblica Fruit Extract, Potassium Sorbate, Pullulan, Pyrus Malus (Apple) Fruit Extract, Saccharomyces/Xylinum/Black Tea Ferment, Salicylic Acid, Sclerotium Gum, Silica, Sodium Benzoate, Sodium Citrate, Tetrasodium EDTA, Tocopherol, Xantham Gum.	
","<span class=""product-rating rating stars-5""></span>"
8,ACNE RELIEF Gentle & Soothing Cleanser,"
	Ingredients

	
		Active ingredient: Salicylic Acid 2.0%. Inactive Ingredients: Glycerin, Sodium Cocoyl Isethionate, Ethylhexyl Palmitate, Silica Cetyl Silylate, Sucrose, Squalane, Polyacrylamide, Water/ Aqua/Eau, Caprylyl Glycol, C13-14 Isoparaffin, Laureth-7, Phenoxyethanol.	
","<span class=""product-rating rating stars-5""></span>"
9,No7 Advanced 1.5% Retinol Complex Night Concentrate,"
	Ingredients

	
		Aqua (Water/Eau), Glycerin, Butylene Glycol, Dimethicone, Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Phenoxyethanol, Polysorbate 20, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Dimethiconol, Retinol, Bisabolol, Inulin Lauryl Carbamate, Caprylyl Glycol, Sorbitan Laurate, Potassium Hydroxide, Ethylhexylglycerin, Carbomer, Tetrasodium EDTA, Behentrimonium Chloride, Sucrose Laurate, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Benzoic Acid, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7.	
","<span class=""product-rating rating stars-5""></span>"
