,Product,Ingredients,Rating
0,All About Clean All-in-One Cleansing Micellar Milk + Makeup Remover for Very Dry to Dry/Combination Skin,"
	Ingredients

	
		WaterAquaEau, C12-15 Alkyl Benzoate, Butylene Glycol, Caprylic/Capric Triglyceride, PPG-2 Myristyl Ether Propionate, Glycerin, Glyceryl Stearate, Ethylhexyl Hydroxystearate, Helianthus Annuus (Sunflower) Seedcake, Hordeum Vulgare (Barley) ExtractExtrait D'Orge, Cetyl Alcohol, Cucumis Sativus (Cucumber) Fruit Extract, Algae Extract, Arginine, Cetearyl Alcohol, Tocopheryl Acetate, Propylene Glycol Dicaprate, Sucrose, Stearyl Glycyrrhetinate, Panthenol, Cetyl Ricinoleate, Cetyl Esters, Ceteareth-20, Carbomer, Disodium EDTA, Phenoxyethanol.	
","<span class=""product-rating rating stars-2""></span>"
1,Agave+ Weekly Lip Scrub,"
	Ingredients

	
		Sucrose, Squalane, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Caprylic/Capric Triglyceride, Aqua/Water/Eau, Aroma/Flavor, Vanilla Planifolia Fruit Extract, Sucrose Laurate, Papain, Vanilla Tahitensis Fruit Extract, Tocopherol, Maltodextrin, Agave Tequilana Leaf Extract, Sodium Benzoate, Sodium Metabisulfite.	
","<span class=""product-rating rating stars-2""></span>"
2,C-Rush Brightening Gel-Crème,"
	Ingredients

	
		Water, Glycerin, Dicaprylyl Carbonate, Propanediol, Caprylic/Capric Triglyceride, 3-O-Ethyl Ascorbic Acid, Glycereth-26, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Hydrolyzed Jojoba Esters, Cetearyl Alcohol, Polyacrylate Crosspolymer-6, Hydroxyacetophenone, Panthenol, Polyglyceryl-3 Methylglucose Distearate, Tetrahexyldecyl Ascorbate, Linoleic Acid, Citric Acid, Phenoxyethanol, Fragrance, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Xanthan Gum, Cetearyl Glucoside, Linolenic Acid, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Hippophae Rhamnoides Extract, Lycium Barbarum Fruit Extract, Rosa Canina Fruit Extract, Ethylhexylglycerin, Leuconostoc/Radish Root Ferment Filtrate, Sodium Citrate, Camellia Japonica Flower Extract, Aroma/Flavor, Sodium Hyaluronate, Sodium Polyacrylate, Sodium Phytate, Hyaluronic Acid, Vegetable Collagen, Ascorbic Acid, Tocopherol, Yellow 6 (Ci 15985), Yellow 5 (Ci 19140), Citral, Limonene, Linalool, Benzyl Alcohol.	
","<span class=""product-rating rating stars-2""></span>"
3,Vital Skin-Strengthening Super Serum,"
	Ingredients

	
		Aqua/Water, Dimethicone, Glycerin, Alcohol Denat., Hamamelis Virginiana, Water/Witch Hazel Water, Propanediol, Phenoxyethanol, Tocopherol, Ammonium Polyacryloyldimethyl Taurate, Schisandra Chinensis Fruit Extract, Capryloyl Salicylic Acid, Caprylyl Glycol, Xanthan Gum, PEG-60 Hydrogenated Castor Oil, Panax Ginseng Root Extract, Sodium Acetylated Hyaluronate, PEG-20 Methyl Glucose Sesquistearate, Disodium EDTA, Ocimum Sanctum Leaf Extract, Citrus Aurantium Dulcis Peel Oil/Orange Peel Oil, Limonene, Adenosine, Sodium Hydroxide, Methyldihydrojasmonate, Citric Acid, Eugenol, Sodium Benzoate, Pelargonium Graveolens Flower Oil, Citral, Potassium Sorbate, Lavandula Angustifolia Oil/Lavender Oil, Cymbopogon Schoenanthus Oil, Citronellol, Linalool, Geraniol, Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil.	
","<span class=""product-rating rating stars-2""></span>"
4,ACNE RELIEF Retinol Treatment & Moisturizer,"
	Ingredients

	
		Active ingredient: Salicylic Acid 0.5%. Inactive Ingredients: Water/Aqua/Eau, SD Alcohol 40-B, Glycerin, Dicaprylyl Ether, Niacinamide, Citrulline, Arginine, Methyl Gluceth-20, Cetearyl Alcohol, Carbomer, Xanthan Gum, Tocopheryl Acetate, Retinol, Citric Acid, Sodium Hydroxide, Disodium EDTA, PEG-20 Methyl Glucose Sesquistearate, PEG-100 Stearate, Glyceryl Stearate, Methyl Glucose Sesquistearate, Polysorbate 20, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate.	
","<span class=""product-rating rating stars-2""></span>"
5,ACNE RELIEF Calming Treatment & Hydrator,"
	Ingredients

	
		Active ingredient: Salicylic Acid 0.5%. Inactive Ingredients: Water/Aqua/Eau, SD Alcohol 40-B, Glycerin, C12-15 Alkyl Lactate, PVP, Dimethicone, Polysorbate 20, Citrulline, Squalane, Lactic Acid, Succinic Acid, Polyacrylamide, Dimethicone/Vinyl Dimethicone Crosspolymer, C13-14 Isoparaffin, Laureth-7, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate.	
","<span class=""product-rating rating stars-2""></span>"
6,Revitalift Derm Intensives .3% Nightly Retinol Serum,"
	Ingredients

	
		Water, Glycerin, Alcohol Denat., Soybean Oil, Isononyl Isononanoate, Pentylene Glycol, Dicaprylyl Ether, Propylene Glycol, PEG-6 Caprylic/Capric Triglycerides, PPG-Decyltetradeceth-30, Dicaprylyl Carbonate, Glyceryl Isostearate, Sodium Hyaluronate, Retinol, Ammoniumpolyacryloyldimethyl Taurate, Caprylyl Glycol, Citric Acid, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Butylene Glycol, Tocopherol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol.	
","<span class=""product-rating rating stars-2""></span>"
7,Hand Screen Broad Spectrum SPF 40,"
	Ingredients

	
		Active Ingredients: Avobenzone 3%, Octisalate 5%, Octocrylene 10%; Inactive Ingredients: Water, Glycerin, Butyloctyl Salicylate, C12-15 Alkyl Benzoate, Cetearyl Alcohol, Propanediol, Glyceryl Stearate Citrate, Cocoglycerides, Isododecane, Cetyl Esters, Cetyl Phosphate, Diisopropyl Sebacate, Isodecyl Neopentanoate, Lauryl Lactate, Arginine, 1,2-Hexanediol, Caprylyl Glycol, Hydroxyacetophenone, Polymethylsilsesquioxane, Raphanus Sativus (Radish) Seed Oil, Diethylhexyl Syringylidenemalonate, Helianthus Annuus (Sunflower) Seed Wax, Limnanthes Alba (Meadowfoam) Seed Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Xanthan Gum, Trisodium Ethylenediamine Disuccinate Argania Spinosa Kernel Oil, Tocopherol, Cymbopogon Schoenanthus Oil, Hippophae Rhamnoides Fruit Oil, Elettaria Cardamomum Seed Oil, Eugenia Caryophyllus (Clove) Leaf Oil, Cinnamomum Cassia Leaf Oil, Vanillin, Eucalyptus Globulus Leaf Oil, Lavandula Hybrida Grosso Herb Oil.	
","<span class=""product-rating rating stars-2""></span>"
8,DRx Blemish Solutions Clarifying Mask with Colloidal Sulfur,"
	Ingredients

	
		Active Ingredient: 5% Sulfur; Inactive Ingredients: Water/Aqua/Eau, Kaolin, Cetearyl Alcohol, Glycerin, Polysorbate 20, Butylene Glycol, Acacia Senegal Gum, Zinc Oxide, Bentonite, Carthamus Tinctorius (Safflower) Seed Oil, Farnesol, Opuntia Tuna Flower/Stem Extract, Salix Alba (Willow) Bark Extract, Bisabolol, Retinol, Phenylethyl Resorcinol, Glycyrrhiza Glabra (Licorice) Root Extract, Aloe Barbadensis Leaf Juice, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium PCA, Ethylhexylglycerin, Allantoin, Rosmarinus Officinalis (Rosemary) Leaf Oil, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate.	
","<span class=""product-rating rating stars-2""></span>"
9,Kosasport LipFuel Hyaluronic Lip Balm,"
	Ingredients

	
		Ricinus Communis (Castor) Seed Oil, Caprylic/Capric Triglyceride, Euphorbia Cerifera (Candelilla) Wax, Bis-Diglyceryl Polyacyladipate-2, Silica, Octyldodecanol, Lanolin Oil, Pentaerythrityl Tetraethylhexanoate, Cera Copernicia Cerifera (Carnauba) Wax, Beeswax (Cera Alba), Helianthus Annuus (Sunflower) Seed Wax, Theobroma Cacao (Cocoa) Seed Butter, Camellia Oleifera Seed Oil, Vitis Vinifera (Grape) Seed Oil, Sodium Hyaluronate, Glucamannan, Acacia Decurrens Flower Wax, Rosa Canina Fruit Oil, Persea Gratissima (Avocado) Oil, Mangifera Indica (Mango) Seed Butter, Oryza Sativa (Rice) Bran Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Carthamus Tinctorius (Safflower) Seed Oil, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Polyglycerin-3, Trihydroxystearin, Ethylhexylglycerin, Ethylhexyl Palmitate, Caprylyl Glycol, Tocopherol, Tocopheryl Acetate, Mentha Arvensis Leaf Oil. May Contain: Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Red 7 Lake (Ci 15850), Red 30 Lake (Ci 73360), Mica (Ci 77019), Titanium Dioxide (Ci 77891).	
","<span class=""product-rating rating stars-2""></span>"
