,Product,Ingredients,Rating
0,Hydra-Light Plumping Lip Mask,"
	Ingredients

	
		Diisostearyl Malate, Dipentaerythrityl Tetrahydroxystearate/Tetraisostearate, Butyrospermum Parkii (Shea) Butter, Polybutene, Polyglyceryl-3 Diisostearate, Euphorbia Cerifera (Candelilla) WaxCandelilla CeraCire De Candelilla, Silybum Marianum Ethyl Ester, Copernicia Cerifera (Carnauba) Wax Copernicia Cerifera Cera Cire De Carnauba, Ethylhexyl Palmitate, Ricinus Communis (Castor) Seed Oil, Mangifera Indica (Mango) Seed Butter, Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Musa Sapientum (Banana) Fruit Extract, Sodium Hyaluronate, Palmitoyl Tripeptide-1, Tribehenin, Hydrogenated Castor Oil, Synthetic Fluorphlogopite, Sorbitan Isostearate, Beta-Sitosterol, Squalene, Lactic Acid, Tin Oxide, Flavor (Aroma), Tocopherol, BHT, Mica, Titanium Dioxide (CI 77891), Blue 1 (CI 42090), Blue 1 Lake (CI 42090).	
","<span class=""product-rating rating stars-4""></span>"
1,Balancing Cleanser: Oil Control,"
	Ingredients

	
		Water/Aqua/Eau, Lauramidopropyl Betaine, Sodium C14-16 Olefin Sulfonate, Glycerin, Acrylates Copolymer, Cocamide Mipa, Hamamelis Virginiana (Witch Hazel) Water, Salix Alba (Willow) Bark Extract, 1,2-Hexanediol, Rosa Damascena Flower Water, Charcoal Powder, Arginine, Rosa Canina Fruit Extract, Glyceryl Caprylate, Ethylhexylglycerin, Sodium Gluconate, Cocamidopropyl Hydroxysultaine, Citric Acid, Sodium Hydroxide, Caprylhydroxamic Acid.	
","<span class=""product-rating rating stars-4""></span>"
2,Hydra Vizor Invisible Moisturizer Broad Spectrum SPF 30 Sunscreen,"
	Ingredients

	
		Active: Avobenzone (3%), Homosalate (9%), Octisalate (4.5%). Other: Water, Glycerin, Carthamus Tinctorius (Safflower) Oleosomes, Pentylene Glycol, Butylene Glycol, C12-15 Alkyl Benzoate, Niacinamide, Zea Mays (Corn) Starch, Hyaluronic Acid, Sodium Hyaluronate, Citrullus Lanatus (Watermelon) Seed Extract, Adansonia Digitata Pulp Extract, Barosma Betulina Leaf Extract, Aloe Barbadensis Leaf Juice, Tocopheryl Acetate, Gluconolactone, Sorbitan Oleate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone, Isohexadecane, Ethylhexyl Methoxycrylene, Polysorbate 80, Xanthan Gum, Sodium Hydroxide, Citric Acid, Potassium Hydroxide, Tocopherol, Trisodium Ethylenediamine Disuccinate, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Fragrance, Benzyl Salicylate, Citral, Hexyl Cinnamal, Limonene, Linalool, Red 33.	
","<span class=""product-rating rating stars-4""></span>"
3,Total Cleans’r Remove-It-All Cleanser,"
	Ingredients

	
		Aqua/Water/Eau, Sodium Cocoyl Glycinate, Sodium Cocoamphoacetate, Cocamidopropyl Betaine, Sodium Chloride, Polyglyceryl-10 Laurate, Glycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glycol Distearate, Sucrose, Malpighia Punicifolia (Acerola) Fruit Extract, Chaenomeles Sinensis Fruit Extract, Camellia Sinensis Leaf Extract, Ficus Carica (Fig) Fruit Extract, Ginkgo Biloba Leaf Extract, Tocopheryl Acetate, Coconut Acid, Sodium Cocoate, Sodium Metabisulfite, Polyquaternium-7, Sodium Benzotriazolyl Butylphenol Sulfonate, Butylene Glycol, Caprylyl Glycol, Sodium Benzoate, Phenoxyethanol, Parfum/Fragrance, Benzyl Salicylate, Blue 1 (Ci 42090), Red 40 (Ci 16035), Titanium Dioxide (Ci 77891), Yellow 5 (Ci 19140), Yellow 6 (Ci 15985).	
","<span class=""product-rating rating stars-4""></span>"
4,Cream Skin Mist,"
	Ingredients

	
		Water / Aqua / Eau, Butylene Glycol, Glycerin, Limnanthes Alba (Meadowfoam) Seed Oil, 1,2-Hexanediol, Polyglyceryl-10 Stearate, Glyceryl Stearate Citrate, Sodium Stearoyl Glutamate, Inulin Lauryl Carbamate, Glyceryl Caprylate, Ethylhexylglycerin, Propanediol, Disodium EDTA, Camellia Sinensis Leaf Extract, Tocopherol.	
","<span class=""product-rating rating stars-4""></span>"
5,Hydraluron+ Moisture Mist,"
	Ingredients

	
		Aqua (Water), Sodium Citrate, Phenoxyethanol, Gluconolactone, Propanediol, Sodium Benzoate, Sodium Hyaluronate, Disodium EDTA, Ethylhexylglycerin, Buddleja Officinalis Flower Extract, Calcium Gluconate.	
","<span class=""product-rating rating stars-4""></span>"
6,Universal C Eye Perfector,"
	Ingredients

	
		Cyclopentasiloxane, Dimethicone, Polysilicone-11, Ascorbic Acid (Pure Vitamin C), Mica, Butyrospermum Parkii (Shea) Butter, Silica, Titanium Dioxide , Cannabis Sativa Seed Oil, Cannabis Sativa Flower/Leaf/Stem Extract, Camellia Sinensis Leaf Extract, Tartaric Acid, Linoleic Acid, Hydroxyapatite, Cholesterol, Squalane, Creatine, Caffeine, Magnolia Grandiflora Bark Extract, Sodium Hyaluronate, Glabridin, Ormenis Multicaulis (Moroccan Chamomile Oil), Pentaerythrityl Tetraisostearate, Salvia Sclarea (Clary Sage) Oil, Hordeum Vulgare Extract, Iron Oxides (Ci 77491), Triticum Vulgare (Wheat) Germ Oil.	
","<span class=""product-rating rating stars-4""></span>"
7,Silicone-Free Priming Moisturizer,"
	Ingredients

	
		Water / Aqua / Eau, Propanediol, Neopentyl Glycol Diheptanoate, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, 1,2-Hexanediol, Cetearyl Olivate, Macadamia Ternifolia Seed Oil, Glyceryl Stearate, Sorbitan Olivate, Cetyl Ethylhexanoate, Carbomer, Tromethamine, Butylene Glycol, Tocopheryl Acetate, Sodium Hyaluronate, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate, Camellia Sinensis Leaf, Water, Citric Acid.	
","<span class=""product-rating rating stars-4""></span>"
8,Squalane + Zinc Sheer Mineral Sunscreen SPF 30,"
	Ingredients

	
		Active Ingredient: Zinc Oxide 14%; Inactive Ingredients: Water, Caprylic/Capric Triglyceride, Squalane, Glycerin, Cetearyl Alcohol, Methyl Dihydroabietate, Sorbitan Olivate, Coco-Glucoside, Cetyl Palmitate, Polyglyceryl-3 Polyricinoleate, Caprylyl/Capryl Glucoside, Nymphaea Alba Flower Extract, Acacia Senegal Gum, Ethyl Ferulate, Xanthan Gum, Sodium Gluconate, Lecithin, Sodium Palmitoyl Proline, Polyhydroxystearic Acid, Ethylhexylglycerin, Phenoxyethanol, Isostearic Acid.	
","<span class=""product-rating rating stars-4""></span>"
9,Guards Up Daily Mineral Sunscreen SPF 35,"
	Ingredients

	
		Active: Zinc Oxide (15.2%). Other: Water/Aqua/Eau, Butyloctyl Salicylate, Isodecyl Neopentanoate, Calcium Sodium Borosilicate, Diheptyl Succinate, C18-21 Alkane, Erythritol, Cetearyl Alcohol, Sodium Stearoyl Glutamate, Capryloyl Glycerin/Sebacic Acid Copolymer, Propanediol, Arachidyl Alcohol, Glycerin, Pyrus Malus (Apple) Fruit Extract, Caprylic/Capric Triglyceride, Tocopherol, Caprylyl Glycol, Coco-Glucoside, Ethyl Ferulate, Behenyl Alcohol, Cetyl Alcohol, Arachidyl Glucoside, Bisabolol, Polyhydroxystearic Acid, Citric Acid, Sodium Gluconate, Xanthan Gum, Octyldodecyl Oleate, Caprylhydroxamic Acid, Hydrolyzed Jojoba Esters, Sodium Hyaluronate, Crithmum Maritimum Extract, Maltodextrin, Moringa Oleifera Seed Extract, Aloe Barbadensis Leaf, Iron Oxides Ci 77491Iron Oxides Ci 77492.	
","<span class=""product-rating rating stars-4""></span>"
